date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:25:42	174853/174853	---M--	200	added ('OK')	image/jpeg	etag:%222ab05-551b4147924c0%22	http://localhost/img/buttons/Button-2016,%c3%85s.jpg	C:/Users/Stian/Downloads/SMASH%202017/localhost/img/buttons/Button-2016,%c3%85s.jpg	(from http://localhost/bilder_buttons.php)
22:25:48	239074/239074	---M--	200	added ('OK')	image/jpeg	etag:%223a5e2-55177bc7fbf40%22	http://localhost/img/jumbotron_background.jpg	C:/Users/Stian/Downloads/SMASH%202017/localhost/img/jumbotron_background.jpg	(from http://localhost/lib/custom.css)
22:25:53	158156/158156	---M--	200	added ('OK')	image/jpeg	etag:%22269cc-551b4167ff140%22	http://localhost/img/buttons/Button-2016,Christianssand.jpg	C:/Users/Stian/Downloads/SMASH%202017/localhost/img/buttons/Button-2016,Christianssand.jpg	(from http://localhost/bilder_buttons.php)
22:26:00	151763/151763	---M--	200	added ('OK')	image/jpeg	etag:%22250d3-551b4181bee00%22	http://localhost/img/buttons/Button-2015,Trondheim.jpg	C:/Users/Stian/Downloads/SMASH%202017/localhost/img/buttons/Button-2015,Trondheim.jpg	(from http://localhost/bilder_buttons.php)
22:26:07	149750/149750	---M--	200	added ('OK')	image/jpeg	etag:%22248f6-51902abc50c80%22	http://localhost/img/buttons/Button-2015,Bj%c3%b8rgvin.jpg	C:/Users/Stian/Downloads/SMASH%202017/localhost/img/buttons/Button-2015,Bj%c3%b8rgvin.jpg	(from http://localhost/bilder_buttons.php)
22:26:14	127936/127936	---M--	200	added ('OK')	image/jpeg	etag:%221f3c0-551b424af88c0%22	http://localhost/img/buttons/Button-2014,Kristiansand.jpg	C:/Users/Stian/Downloads/SMASH%202017/localhost/img/buttons/Button-2014,Kristiansand.jpg	(from http://localhost/bilder_buttons.php)
22:26:15	165108/165108	---M--	200	added ('OK')	image/jpeg	etag:%22284f4-551b419996640%22	http://localhost/img/buttons/Button-2014,%c3%85s.jpg	C:/Users/Stian/Downloads/SMASH%202017/localhost/img/buttons/Button-2014,%c3%85s.jpg	(from http://localhost/bilder_buttons.php)
22:26:25	156950/156950	---M--	200	added ('OK')	image/jpeg	etag:%2226516-551b42575e600%22	http://localhost/img/buttons/Button-2013,Trondheim.jpg	C:/Users/Stian/Downloads/SMASH%202017/localhost/img/buttons/Button-2013,Trondheim.jpg	(from http://localhost/bilder_buttons.php)
22:26:37	145706/145706	---M--	200	added ('OK')	image/jpeg	etag:%222392a-551b4273fa980%22	http://localhost/img/buttons/Button-2012,%c3%85s.jpg	C:/Users/Stian/Downloads/SMASH%202017/localhost/img/buttons/Button-2012,%c3%85s.jpg	(from http://localhost/bilder_buttons.php)
22:26:44	176719/176719	---M--	200	added ('OK')	image/jpeg	etag:%222b24f-551b4280606c0%22	http://localhost/img/buttons/Button-2011,Trondheim.jpg	C:/Users/Stian/Downloads/SMASH%202017/localhost/img/buttons/Button-2011,Trondheim.jpg	(from http://localhost/bilder_buttons.php)
